Column1,Column2,Column3,Column4,Column5
1368432277823262723 ,2021-03-07 ,10:54:13 ,+0530 ,<News18lokmat>  https://t.co/svqnsUGXsh ‘सरकारला निवडणुकीची चिंता नाही’; शेतकरी आंदोलनावरुन शत्रूघ्न सिन्हा यांचा टोला #ShatrughanSinha #Indianfarmersprotest
1368422484849090560 ,2021-03-07 ,10:15:19 ,+0530 ,<RadioPakistan> #IndianFarmersProtest: 15 people from every village should stay at the protest venue for 10 days and then the next lot of 15 should replace them: BKU’s state president Rajveer Singh Jadoun  https://t.co/FU5RENXtf3
1368260087274496006 ,2021-03-06 ,23:30:00 ,+0530 ,<VONPKofficial> بھارت میں تین نئے زرعی قوانین کے خلاف کسانوں کے احتجاج کو 100 دن مکمل ہو گئے۔  #Indianfarmersprotest #VoiceOfNation #Humanrights  https://t.co/89Y3RkWsRF
1368033816170946560 ,2021-03-06 ,08:30:53 ,+0530 ,<acenews_com_pk> #indianfarmershumanrights #indianfarmersprotest بھارتی کسانوں نے احتجاج کے 100 روز مکمل ہونے پر بڑا اعلان کردیا  https://t.co/T9th5V4Dx2
1367879965782384640 ,2021-03-05 ,22:19:32 ,+0530 ,<prabh_grewal2> #100DaysFarmersProtest #100DaysOfFarmersProtest #FarmersProstest #IStandWithFarmers #isupportfarmersprotest #indianfarmersprotest  https://t.co/Bzytbc3ovS
1367697882371878917 ,2021-03-05 ,10:16:00 ,+0530 ,<EditorRajan> Thank you @TimesMagazine  To raise the voice of the #IndianFarmersProtest  https://t.co/d4Jvonq5DC
1367684032348102660 ,2021-03-05 ,09:20:58 ,+0530 ,<DuniyaTak> ब्रिटिश संसद में भारत के अंदरूनी मामले पर बहस!  #BritishParliament | #FarmersProtests | #BorisJohnson 🇬🇧#UK |  #England | #UKParliament | #TanDhesi | #TanmanjeetSinghDhesi | #Slough | #IndianFarmers #IndianFarmersProtest    देखें वीडियो:   https://t.co/Awju6CmCn9
1367675214155280386 ,2021-03-05 ,08:45:55 ,+0530 ,<DuniyaTak> #ComingUp: #Britain संसद में भारत के अंदरुनी मामले पर बहस!   #BritishParliament | #FarmersProtests | #BorisJohnson 🇬🇧#UK |  #England | #UKParliament | #TanDhesi | #TanmanjeetSinghDhesi | #Slough | #IndianFarmers #IndianFarmersProtest   देखें आज सुबह 9:00 बजे @DuniyaTak पर  https://t.co/pJgWsO0WFz
1367529359226068994 ,2021-03-04 ,23:06:21 ,+0530 ,<yespunjab> British Parliament to debate Indian Farmers protest on March 8: Tanmanjeet Singh Dhesi  #UK #England #UKParliament #BritishParliament #TanDhesi #TanmanjeetSinghDhesi #Slough #IndianFarmers #IndianFarmersProtest #FarmersProtest   https://t.co/BDifBPqOyq
1367386624049344514 ,2021-03-04 ,13:39:10 ,+0530 ,<Surjeet00639403> #SpeakUpForFarmers #JusticeForFarmers #IndianFarmersProtest #FarmersProtest #IStandWithFarmers #StandWithFarmers #NationWithFarmers #IndiaWithFarmers #CountryWithFarmers #ModiRaidsProFarmers #KisanMazdoorEktaZindabaad #FarmersSupportTraders #SupportFarmersProtest #SupportFarmers  https://t.co/s3ZTjVX73I
